,brand,model,processor_name,ram_gb,ssd,hdd,latest_price
0,Lenovo,A6-9225,A6-9225 Processor,4 GB GB,0 GB,1024 GB,24990
1,Lenovo,Ideapad,APU Dual,4 GB GB,0 GB,512 GB,19590
2,Avita,PURA,APU Dual,4 GB GB,128 GB,0 GB,19990
3,Avita,PURA,APU Dual,4 GB GB,128 GB,0 GB,21490
4,Avita,PURA,APU Dual,4 GB GB,256 GB,0 GB,24990
5,Avita,PURA,APU Dual,8 GB GB,256 GB,0 GB,24990
6,HP,APU,APU Dual,4 GB GB,0 GB,1024 GB,20900
7,Lenovo,APU,APU Dual,4 GB GB,0 GB,1024 GB,21896
8,HP,Athlon,Athlon Dual,32 GB GB,32 GB,0 GB,26899
9,acer,Aspire,Athlon Dual,4 GB GB,256 GB,0 GB,31990
10,ASUS,ExpertBook,Core i3,4 GB GB,0 GB,1024 GB,34649
11,Lenovo,Missing,Core i3,4 GB GB,0 GB,1024 GB,38999
12,Lenovo,v15,Core i3,4 GB GB,0 GB,1024 GB,39999
13,ASUS,ExpertBook,Core i5,8 GB GB,512 GB,0 GB,69990
14,ASUS,VivoBook,Celeron Dual,4 GB GB,0 GB,512 GB,26990
15,ASUS,EeeBook,Celeron Dual,4 GB GB,0 GB,512 GB,22990
16,ASUS,EeeBook,Celeron Dual,4 GB GB,0 GB,512 GB,21990
17,ASUS,ExpertBook,Core i5,8 GB GB,0 GB,1024 GB,58799
18,Lenovo,Missing,Core i5,4 GB GB,0 GB,1024 GB,49999
19,acer,Aspire,Ryzen,4 GB GB,0 GB,512 GB,54990
20,acer,Nitro,Ryzen 5,4 GB GB,0 GB,512 GB,59990
21,acer,Nitro,Ryzen 5,4 GB GB,0 GB,512 GB,93700
22,acer,Nitro,Ryzen 5,4 GB GB,0 GB,512 GB,72990
23,Avita,Cosmos,Celeron Dual,4 GB GB,0 GB,512 GB,17490
25,ASUS,ExpertBook,Core i3,4 GB GB,256 GB,0 GB,35990
26,HP,x360,Core i3,8 GB GB,256 GB,0 GB,56490
27,HP,x360,Core i5,8 GB GB,256 GB,0 GB,65390
